,City Name,Date,Long,Lat,Temp,Humid,Wind,clouds,Country
0,Alamosa,1608350725,-105.87,37.47,15.8,92,3.36,90,US
1,Carutapera,1608350725,-46.02,-1.2,77.67,86,5.53,6,BR
2,Rincon,1608350724,-81.24,32.3,41.0,80,5.82,1,US
3,Qaanaaq,1608350725,-69.36,77.48,-1.91,84,0.96,14,GL
4,Bluff,1608350725,168.33,-46.6,64.99,93,1.99,100,NZ
5,Yellowknife,1608350725,-114.35,62.46,-29.2,66,8.05,90,CA
6,Beringovskiy,1608350725,179.32,63.05,-0.11,93,13.98,96,RU
7,Oxford,1608350444,-1.26,51.75,50.0,87,20.8,100,GB
8,Saldanha,1608350726,17.94,-33.01,59.0,82,3.36,0,ZA
9,Mataura,1608350726,168.86,-46.19,64.99,93,1.99,100,NZ
10,Eilat,1608350726,34.95,29.56,55.4,76,9.17,0,IL
11,Dikson,1608350726,80.55,73.51,-21.14,89,6.35,100,RU
12,Tomatlán,1608350726,-105.25,19.93,66.99,75,2.75,58,MX
13,San Patricio,1608350726,-97.52,28.02,68.0,82,14.99,90,US
14,Casper,1608350726,-106.31,42.87,21.2,79,17.22,1,US
15,Ushuaia,1608350726,-68.3,-54.8,42.8,70,8.05,0,AR
16,Trairi,1608350726,-39.27,-3.28,79.39,76,10.45,24,BR
17,Acapulco de Juárez,1608350557,-99.89,16.86,78.8,74,6.93,40,MX
18,Mokhotlong,1608350726,29.07,-29.29,59.72,67,1.05,0,LS
19,Hermanus,1608350727,19.23,-34.42,64.99,86,5.01,5,ZA
20,The Pas,1608350642,-101.25,53.83,-5.8,70,5.82,90,CA
21,Butaritari,1608350727,172.79,3.07,81.77,81,13.38,100,KI
22,Tigil',1608350727,158.67,57.8,8.28,91,1.21,97,RU
23,Dandong,1608350727,124.39,40.13,20.1,65,3.09,0,CN
24,Vaini,1608350727,-175.2,-21.2,78.8,94,14.99,90,TO
25,Chui,1608350727,-53.46,-33.7,68.61,82,11.86,5,UY
26,Campbell River,1608350664,-125.24,50.02,46.0,100,10.29,90,CA
27,Lumsden,1608350727,-104.87,50.65,3.2,77,18.34,20,CA
28,Mogocha,1608350727,119.77,53.73,-6.07,78,2.01,19,RU
29,New Norfolk,1608350727,147.06,-42.78,59.0,47,1.01,98,AU
30,Taltal,1608350728,-70.48,-25.4,61.45,73,4.52,12,CL
31,Port Alfred,1608350728,26.89,-33.59,70.0,98,3.0,96,ZA
32,Touros,1608350728,-35.46,-5.2,77.0,83,9.17,20,BR
33,Eureka,1608350728,-124.16,40.8,45.0,89,3.0,94,US
34,Esperance,1608350728,121.9,-33.87,77.0,33,9.17,0,AU
35,Rikitea,1608350728,-134.97,-23.12,78.33,76,20.09,0,PF
36,Hithadhoo,1608350452,73.08,-0.6,82.24,69,4.97,42,MV
37,Albany,1608350595,-73.97,42.6,12.0,91,3.36,1,US
38,Bambous Virieux,1608350728,57.76,-20.34,80.01,78,6.93,40,MU
39,Vardø,1608350728,31.11,70.37,22.03,94,6.22,73,NO
40,Bowen,1608350729,148.23,-20.02,93.2,41,13.87,67,AU
41,Saint Paul Harbor,1608350729,-152.41,57.79,24.8,92,8.05,90,US
42,San Cristobal,1608350729,-72.22,7.77,63.81,84,1.66,45,VE
43,Severo-Kuril'sk,1608350729,156.12,50.68,30.67,93,5.3,31,RU
44,Hobart,1608350556,147.33,-42.88,59.0,47,17.22,75,AU
45,Luoyang,1608350729,112.45,34.68,37.69,59,4.23,100,CN
46,La Campana,1608350729,-5.43,37.57,48.99,100,1.23,75,ES
47,Bac Lieu,1608350729,105.72,9.29,83.82,68,7.29,100,VN
48,Barrow,1608350508,-156.79,71.29,-7.6,83,17.22,1,US
49,Ancud,1608350729,-73.82,-41.87,53.01,81,7.72,40,CL
50,Solnechnyy,1608350729,136.63,50.72,-0.58,82,1.95,34,RU
51,Punta Arenas,1608350730,-70.92,-53.15,48.2,76,10.29,100,CL
52,Marsh Harbour,1608350715,-77.06,26.54,68.54,63,16.04,22,BS
53,Katsuura,1608350730,140.3,35.13,48.99,42,5.99,81,JP
54,Souillac,1608350730,57.52,-20.52,78.8,78,6.93,40,MU
55,Busselton,1608350730,115.33,-33.65,79.39,36,10.58,0,AU
56,Qiqihar,1608350730,123.97,47.34,10.53,67,9.06,0,CN
57,Kualakapuas,1608350730,114.39,-3.01,78.8,94,3.36,40,ID
58,Khandyga,1608350665,135.6,62.67,-41.21,80,1.9,100,RU
59,Pangnirtung,1608350730,-65.71,66.15,-5.39,82,3.69,8,CA
60,Clyde River,1608350730,-68.59,70.47,-13.0,75,6.93,1,CA
61,Tambopata,1608350437,-69.18,-12.73,72.25,96,2.46,100,PE
62,Hilo,1608350609,-155.09,19.73,75.2,78,5.82,75,US
63,Atuona,1608350731,-139.03,-9.8,78.73,74,15.77,87,PF
64,Tiksi,1608350731,128.87,71.69,-22.5,87,7.87,100,RU
65,Ribeira Grande,1608350731,-28.7,38.52,60.87,78,8.63,94,PT
66,Rojhan,1608350731,69.95,28.69,61.21,28,5.32,0,PK
67,São João da Barra,1608350731,-41.05,-21.64,73.81,93,3.36,98,BR
68,La Ronge,1608350731,-105.28,55.1,-9.4,76,8.05,100,CA
69,Nikolskoye,1608350731,30.79,59.7,33.8,98,2.24,90,RU
70,Avarua,1608350731,-159.78,-21.21,80.6,83,11.41,100,CK
71,Alyangula,1608350505,136.42,-13.85,80.6,83,12.75,75,AU
72,Bandundu Province,1608350731,17.37,-3.32,69.28,96,1.48,5,CD
73,Carnarvon,1608350732,113.63,-24.87,80.6,69,20.8,0,AU
74,Kaitangata,1608350732,169.85,-46.28,63.37,86,3.58,100,NZ
75,Xai-Xai,1608350732,33.64,-25.05,72.55,91,4.09,90,MZ
76,Dunedin,1608350732,170.5,-45.87,64.0,73,17.0,100,NZ
77,Tuatapere,1608350732,167.68,-46.13,64.99,93,1.99,100,NZ
78,Geraldton,1608350732,114.6,-28.77,87.8,33,19.46,0,AU
79,Jacareacanga,1608350732,-57.75,-6.22,73.63,95,1.19,69,BR
80,Lebu,1608350732,-73.65,-37.62,53.91,89,5.66,100,CL
81,Caraquet,1608350445,-64.94,47.79,14.0,85,2.24,87,CA
82,Gimli,1608350732,-96.99,50.63,5.0,71,4.7,0,CA
83,Bredasdorp,1608350713,20.04,-34.53,59.0,93,3.36,68,ZA
84,Moose Factory,1608350733,-80.61,51.26,30.2,74,18.34,90,CA
85,Hohhot,1608350733,111.65,40.81,12.2,66,4.47,0,CN
86,Puerto Carreño,1608350733,-67.49,6.19,75.83,84,7.43,76,CO
87,Jamestown,1608350733,-79.24,42.1,19.0,92,3.36,1,US
88,Polovinnoye,1608350733,65.99,54.79,9.82,95,14.14,100,RU
89,Iqaluit,1608350733,-68.51,63.75,-9.0,69,2.24,5,CA
90,Kahului,1608350685,-156.47,20.89,73.4,78,14.99,40,US
91,Fortuna,1608350514,-124.16,40.6,46.0,87,6.93,1,US
92,Pinawa,1608350733,-95.88,50.15,-0.15,93,4.25,13,CA
93,Aquiraz,1608350734,-38.39,-3.9,80.6,78,10.29,75,BR
94,Peski,1608350734,38.76,55.22,28.4,92,8.95,90,RU
95,Kasongo-Lunda,1608350734,16.82,-6.47,67.59,93,0.18,67,CD
96,Il’inskiy,1608350734,38.12,55.62,28.4,92,8.95,90,RU
97,Bariloche,1608350734,-71.31,-41.15,50.0,61,17.22,20,AR
98,Alofi,1608350734,-169.92,-19.06,84.2,70,10.29,75,NU
99,Leningradskiy,1608350734,178.42,69.38,12.09,94,23.04,100,RU
100,Broome,1608350734,-75.83,42.25,12.2,85,4.7,1,US
101,Mahébourg,1608350734,57.7,-20.41,78.8,78,6.93,40,MU
102,Roebourne,1608350734,117.13,-20.78,103.69,22,4.32,7,AU
103,Narsaq,1608350734,-46.05,60.92,26.6,73,10.29,100,GL
104,Evensk,1608350735,159.23,61.95,3.87,85,12.57,100,RU
105,Hasaki,1608350735,140.83,35.73,48.0,42,6.93,75,JP
106,Bethel,1608350441,-73.41,41.37,19.0,66,5.55,1,US
107,Banff,1608350735,-115.57,51.18,42.8,51,16.11,100,CA
108,Pevek,1608350735,170.31,69.7,6.89,93,9.71,72,RU
109,Safranbolu,1608350735,32.69,41.25,41.72,84,0.22,100,TR
110,Songjianghe,1608350735,127.48,42.19,8.89,66,8.75,0,CN
111,Codrington,1608350735,141.97,-38.27,57.99,61,9.46,100,AU
112,Kavaratti,1608350735,72.64,10.57,84.2,79,4.7,40,IN
113,Khani,1608350735,42.96,41.96,35.6,74,3.36,0,GE
114,Port Hardy,1608350735,-127.42,50.7,46.4,87,12.75,40,CA
115,Tabas,1608350736,56.92,33.6,46.4,75,2.24,52,IR
116,Manggar,1608350736,108.27,-2.88,83.68,72,11.14,100,ID
117,Quatre Cocos,1608350736,57.76,-20.21,80.01,78,6.93,40,MU
118,Berbera,1608350736,45.01,10.44,77.86,78,2.44,75,SO
119,Mar del Plata,1608350736,-57.56,-38.0,68.0,94,9.17,0,AR
120,Faanui,1608350736,-151.75,-16.48,80.06,72,6.26,83,PF
121,Haines Junction,1608350736,-137.51,60.75,-2.2,77,2.24,100,CA
122,Tilichiki,1608350736,166.1,60.47,-6.57,92,13.18,95,RU
123,Skegness,1608350736,0.34,53.14,52.0,87,17.22,90,GB
124,Matagami,1608350736,-77.63,49.75,8.6,78,10.29,1,CA
125,East London,1608350736,27.91,-33.02,69.8,100,5.82,90,ZA
