,City Name,Date,Long,Lat,Temp,Humid,Wind,clouds,Country
0,Muisne,1608352278,-80.03,0.6,73.15,92,4.68,99,EC
1,Saldanha,1608352278,17.94,-33.01,59.0,87,5.82,0,ZA
2,Cape Town,1608352276,18.42,-33.93,66.0,88,11.41,0,ZA
3,Constitución,1608352278,-72.42,-35.33,52.12,90,6.06,15,CL
4,College,1608352161,-147.8,64.86,-11.99,68,4.7,40,US
5,Khatanga,1608352278,102.5,71.97,-18.87,86,5.95,92,RU
6,Ponta do Sol,1608352215,-17.1,32.67,61.0,72,3.36,20,PT
7,Saskylakh,1608352278,114.08,71.92,-28.53,83,9.26,93,RU
8,Mataura,1608352254,168.86,-46.19,64.0,93,1.01,100,NZ
9,Sangar,1608352278,127.47,63.92,-41.39,79,4.99,83,RU
10,Caravelas,1608352279,-39.25,-17.71,74.61,92,4.29,50,BR
11,Aksu,1608352279,80.26,41.12,24.35,87,2.35,0,CN
12,Muzhi,1608352279,64.67,65.37,7.2,90,11.16,66,RU
13,Marzuq,1608352279,46.47,14.4,68.22,67,1.1,61,YE
14,Drayton Valley,1608352279,-114.99,53.22,31.89,87,12.55,99,CA
15,Norman Wells,1608352279,-126.83,65.28,-47.2,63,2.24,75,CA
16,Hithadhoo,1608352279,73.08,-0.6,82.33,69,4.81,40,MV
17,Hobart,1608352255,147.33,-42.88,57.99,50,14.99,75,AU
18,Cayenne,1608352279,-52.33,4.93,75.2,100,13.02,90,GF
19,Gusau,1608352279,6.66,12.16,64.35,29,7.65,0,NG
20,Rikitea,1608352279,-134.97,-23.12,78.12,77,21.23,0,PF
21,Qaanaaq,1608352194,-69.36,77.48,-1.91,84,0.96,14,GL
22,Kez,1608352280,53.72,57.9,-2.61,92,5.08,16,RU
23,Bethel,1608352120,-73.41,41.37,19.0,91,5.55,0,US
24,Warrington,1608352051,-2.58,53.39,51.01,87,13.87,100,GB
25,Puerto Ayora,1608352280,-90.35,-0.74,71.01,94,5.95,33,EC
26,Broken Hill,1608352108,141.43,-31.95,78.8,13,8.05,7,AU
27,Albany,1608352158,-73.97,42.6,12.0,91,3.36,1,US
28,Souillac,1608352280,57.52,-20.52,80.6,83,11.41,40,MU
29,Ushuaia,1608352209,-68.3,-54.8,46.4,49,8.05,40,AR
30,Butaritari,1608352280,172.79,3.07,81.77,81,13.15,100,KI
31,Bayan,1608352280,127.4,46.08,3.99,88,10.33,0,CN
32,Mossamedes,1608352280,12.15,-15.2,66.22,78,5.08,78,AO
33,Priiskovyy,1608352280,116.63,51.93,0.99,87,2.62,0,RU
34,Micheweni,1608352281,39.83,-4.97,82.76,68,4.45,48,TZ
35,Port Elizabeth,1608352281,25.57,-33.92,68.0,100,8.05,90,ZA
36,Tautira,1608352281,-149.15,-17.73,82.4,74,11.41,75,PF
37,Prince Albert,1608352208,-105.77,53.2,-5.8,70,9.17,90,CA
38,Yamada,1608352281,141.95,39.47,29.19,80,21.54,19,JP
39,Ayan,1608352281,138.17,56.45,-5.94,86,15.57,100,RU
40,Te Anau,1608352281,167.72,-45.42,58.32,91,3.09,100,NZ
41,Vaini,1608352281,-175.2,-21.2,78.8,94,14.99,90,TO
42,North Bend,1608352281,-124.22,43.41,53.01,93,13.87,90,US
43,Plettenberg Bay,1608352181,23.37,-34.05,65.71,83,1.74,0,ZA
44,Hamilton,1608352281,-84.53,39.18,33.01,80,3.36,1,US
